excavation_unit,shellID,18Ovalue,season
106,ŽU_2_106_E1,-0.59,Summer
106,ŽU_2_106_E2,1.86,Winter
106,ŽU_2_106_F1,1.23,Winter
106,ŽU_2_106_F2,1.57,Winter
106,ŽU_2_106_H1,-0.31,Summer
106,ŽU_2_106_I1,-0.28,Summer
106,ŽU_2_106_I2,1.9,Winter
106,ŽU_2_106_J1,2.35,Winter
105,ŽU_2_105_B2,0.08,Summer
105,ŽU_2_105_C2,2.36,Winter
105,ŽU_2_105_D1,2.27,Winter
105,ŽU_2_105_D2,-0.5,Summer
105,ŽU_2_105_E1,-0.32,Summer
105,ŽU_2_105_F1,-0.05,Summer
16,ŽU_1_16_A1,1.65,Winter
16,ŽU_1_16_A2,-0.49,Summer
16,ŽU_1_16_C1,2.18,Winter
>>>>>>> 04ca7e1da3369642aa1780fb9df3a62d11342959,,,
